Site Code,Latitude,Longitude,PhysicalAddressCounty,Call Group,Owner,Cluster_ID
GRM,31.83253,-82.49946,Appling,FO-GA-SE-BAXLEY,GPC,16
GRO,33.55732,-83.18807,Greene,FO-GA-NE-ATHENS WEST,GPC,1
GRP,36.926726,-97.666664,Grant,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,131
GRR,33.542772,-83.183541,Greene,FO-GA-NE-ATHENS WEST,GPC,1
GRS,33.62513,-84.390551,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
GRT,36.926836,-97.696342,Grant,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,131
GRV,31.8194,-86.6512,Butler,FO-AL-MONTGOMERY WEST,APC,1
GSA,33.724306,-84.356758,Fulton,FO-GA-NE-METRO SOUTHEAST,GPC,1
GSB,33.626066,-84.38983,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
GSC,33.515445,-86.820027,Jefferson,FO-AL-BIRMINGHAM DOWNTOWN NORTH,APC,1
GSE,32.080348,-81.09241,,FO-GA-SE-SAVANNAH 1,GPC,5
GSH,30.347528,-87.628863,Baldwin,FO-AL-MOBILE SOUTHEAST,APC,6
GSI,30.366826,-89.094057,Harrison,FO-MS-O-SOUTH CENTRAL,MPC,6
GSK,34.834109,-118.546929,,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,130
GSP,33.643853,-87.194903,Walker,FO-AL-MILLER SP,APC,1
GSS,34.506324,-97.038375,MURRAY,FO-SPC-PLANT SUPPORT 1 BLT HUB,SPC,132
GST,33.1697,-86.76761,Shelby,FO-AL-BIRMINGHAM SOUTH,APC,1
GTC,30.437482,-89.03176,Harrison,FO-MS-O-SOUTH CENTRAL,MPC,6
GTI,33.8681,-83.6087,GRATIS,FO-GA-NE-ATHENS WEST,GPC,1
GTM,33.524806,-86.656906,Jefferson,FO-AL-BIRMINGHAM NORTHEAST,APC,1
GTR,34.014472,-85.974944,Etowah,FO-AL-GADSDEN,APC,1
GUN,34.33728,-86.2881,Marshall,FO-AL-ALBERTVILLE,SOLINC,1
GUT,30.386393,-88.655355,Jackson,FO-MS-O-SOUTH,MPC,6
GVH,31.714067,-87.771878,Clarke,FO-AL-MOBILE NORTHEAST,APC,62
GVM,30.38314,-89.098263,Harrison,FO-MS-O-SOUTH CENTRAL,MPC,6
GVW,33.47276,-82.16557,Columbia,FO-GA-SE-AUGUSTA 1,GPC,1
GWD,41.531309,-87.632586,Cook,FO-GA-SE-ILLINOIS-SOUTH,SOGAS,83
GWE,33.956605,-84.074564,Gwinnett,FO-GA-NE-CONYERS,SOGAS,1
GWH,30.383914,-89.09789,Harrison,FO-MS-O-SOUTH CENTRAL,MPC,6
GWI,33.94806,-84.12833,Gwinnett,FO-GA-NE-CONYERS,GPC,1
GWN,33.972985,-84.052459,Gwinnett,FO-GA-NE-CUMMING,GPC,1
GWO,33.97267,-84.05338,Gwinnett,FO-GA-NE-CUMMING,GPC,1
GWR,33.064392,-86.053762,Coosa,FO-AL-ASHLAND,APC,1
GWS,33.055719,-86.057727,Coosa,FO-AL-ASHLAND,APC,1
GWT,33.62695,-84.38611,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
GWY,44.27545,-105.5159,Campbell,FO-GA-SE-NATIONAL,SOGAS,133
GYS,33.624795,-84.390589,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
HA1,32.382254,-86.574787,Autauga,FO-AL-MONTGOMERY WEST,SPC,1
HA2,32.380912,-86.574804,Autauga,FO-AL-MONTGOMERY WEST,SPC,1
HAC,34.26975,-87.84054,Marion,FO-AL-JASPER,APC,1
HAD,32.6949,-85.149619,Lee,FO-AL-PHENIX CITY,APC,1
HAE,32.1769,-86.5794,Lowndes,FO-AL-MONTGOMERY WEST,APC,1
HAI,30.9964,-83.391123,Lowndes,FO-GA-SW-VALDOSTA,GPC,2
HAL,33.405228,-82.257994,Columbia,FO-GA-SE-AUGUSTA 1,GPC,1
HAM,34.25222,-85.34472,Floyd,Plant Bowen/Plant Hammond IT Analyst Contact,GPC,1
HAN,33.035525,-87.264297,Bibb,FO-AL-TUSCALOOSA,APC,1
HAO,37.69483,-77.441523,Hanover,FO-GA-SE-NATIONAL,SOGAS,134
HAP,34.6687,-86.7355,Madison,FO-AL-BIRMINGHAM NORTH,SOLINC,1
HAR,32.381139,-86.573735,Autauga,FO-AL-MONTGOMERY WEST,SPC,1
HAS,30.6363,-88.1284,Mobile,FO-AL-MOBILE SOUTHWEST,APC,6
HAT,34.318377,-82.947233,Hart,FO-GA-NE-ATHENS EAST,GPC,1
HAV,32.878305,-87.602963,Hale,FO-AL-DEMOPOLIS,APC,1
HAW,32.265172,-83.339297,Dodge,FO-GA-SW-PERRY,GPC,80
HAY,33.8937,-86.71722,Blount,FO-AL-BIRMINGHAM NORTH,APC,1
HAZ,31.857595,-82.585338,Jeff Davis,FO-GA-SE-BAXLEY,GPC,16
HBG,31.3483,-89.3231,Forrest,FO-MS-O-CENTRAL,MPC,6
HCA,34.298006,-85.298098,Floyd,FO-GA-NW-FLOYD & NORTH,GPC,1
HCD,34.253867,-83.845503,Hall,FO-GA-NE-GAINESVILLE,SOGAS,1
HCH,34.23598,-87.65136,Marion,FO-AL-JASPER,APC,1
HCQ,34.11791,-87.99202,Marion,FO-AL-JASPER,APC,1
HCY,30.194345,-85.630688,Bay,FO-FL-NEXTERA ENERGY,NextEra,135
HDL,31.335361,-85.332639,Henry,FO-AL-DOTHAN EAST,APC,11
HDS,33.395761,-84.170989,Henry,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
HDT,32.279,-83.4925,Pulaski,FO-GA-SW-PERRY,SOLINC,80
HEA,30.715423,-88.121534,Mobile,FO-AL-MOBILE NORTHWEST,APC,6
HED,31.39805,-85.32885,Henry,FO-AL-DOTHAN EAST,APC,11
HEE,34.69348,-83.74241,White,FO-GA-NE-CORNELIA,GPC,1
HEF,33.623878,-85.576098,Cleburne,FO-AL-GADSDEN,APC,1
HEH,31.3458,-86.46254,Covington,FO-AL-DOTHAN WEST,APC,19
HEI,31.88583,-88.97972,Jasper,FO-MS-O-NORTH CENTRAL,MPC,6
HEL,33.2907,-86.84451,Shelby,FO-AL-BIRMINGHAM SOUTHWEST,APC,1
HEN,33.2744,-86.8656,Shelby,FO-AL-BIRMINGHAM SOUTHWEST,APC,1
HEP,33.32693,-82.08389,Richmond,FO-GA-SE-AUGUSTA 2,GPC,1
HET,34.7412,-86.6602,Madison,FO-AL-BIRMINGHAM NORTH,SOLINC,1
HEX,30.28075,-87.519517,Baldwin,FO-AL-MOBILE SOUTHEAST,APC,6
HFL,33.64468,-85.58772,Cleburne,FO-AL-GADSDEN,APC,1
HFS,33.161389,-84.044444,LaMar,FO-GA-SW-MACON-WEST,GPC,1
HGS,33.158,-84.8735,,FO-GA-SW-COLUMBUS,GPC,1
HH1,33.357383,-86.843609,Jefferson,FO-AL-BIRMINGHAM SOUTHWEST,APC,1
HHF,33.625863,-84.393319,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
HHK,37.787736,-82.819278,Johnson,FO-GA-SE-NATIONAL,SOGAS,136
HHQ,31.351218,-85.348985,Henry,FO-AL-DOTHAN EAST,APC,11
HIC,34.1795306,-84.417,HICKORY FLAT,FO-GA-NW-BARTOW/CHEROKEE & NORTH,GPC,1
HIG,33.753611,-84.465306,Fulton,FO-GA-NW-METRO SOUTHWEST,GPC,1
HIK,32.344444,-89.033056,NEWTON,FO-MS-O-NORTH CENTRAL,MPC,6
HIL,33.092,-87.5602,Tuscaloosa,FO-AL-DEMOPOLIS,APC,1
HIN,31.818903,-81.602572,Liberty,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,43
HIP,31.71469,-82.381498,Appling,FO-GA-SE-BAXLEY,GPC,16
HIT,33.5027,-86.7893,Jefferson,FO-AL-BIRMINGHAM DOWNTOWN SOUTH,APC,1
HIX,31.0709111,-82.0129389,HICKOX,FO-GA-SE-WAYCROSS,GPC,137
HJA,33.641299,-84.445998,Fulton,FO-GA-NW-METRO SOUTHWEST,GPC,1
HLB,34.6572,-87.1585,Lawrence,FO-AL-BIRMINGHAM NORTH,SOLINC,1
HLD,33.255,-87.44945,Tuscaloosa,FO-AL-TUSCALOOSA,APC,1
HLL,34.444155,-86.898033,Morgan,FO-AL-BIRMINGHAM NORTH,SOLINC,1
HLM,33.78417,-86.05139,Calhoun,FO-AL-ALBERTVILLE,APC,1
HLO,33.25778,-85.61694,Randolph,FO-AL-ASHLAND,APC,1
HLV,34.226757,-87.618062,Winston,FO-AL-JASPER,APC,1
HMF,31.347122,-89.3183,Forrest,FO-MS-O-CENTRAL,MPC,6
HML,32.742825,-84.8726611,,FO-GA-SW-COLUMBUS,GPC,1
HMM,34.25464,-85.33937,Floyd,FO-GA-NW-FLOYD & NORTH,GPC,1
HMR,34.3431944,-83.4661111,HOMER,FO-GA-NE-GAINESVILLE,GPC,1
HMS,31.929916,-82.344857,Appling,FO-GA-SE-BAXLEY,GPC,16
HMV,31.03639,-82.75083,Clinch,FO-GA-SE-WAYCROSS,GPC,138
HMW,33.403143,-84.227146,Henry,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
HNP,31.932656,-82.346239,,FO-SNC-HATCH BLT HUB,GPC,16
HNS,31.819039,-81.601639,Liberty,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,43
HOB,34.016243,-84.329385,Fulton,FO-GA-NE-CUMMING,GPC,1
HOD,34.3107,-87.937,Marion,FO-AL-JASPER,APC,1
HOG,34.152545,-84.887581,Bartow,FO-GA-NW-BARTOW/CHEROKEE & NORTH,GPC,1
HOL,33.233355,-87.472892,Tuscaloosa,FO-AL-TUSCALOOSA,APC,1
HOM,31.042118,-82.723029,Clinch,FO-GA-SE-WAYCROSS,GPC,138
HOO,31.205544,-82.148122,Brantley,FO-GA-SE-WAYCROSS,GPC,42
HOS,34.175339,-84.503561,Cherokee,FO-GA-NW-BARTOW/CHEROKEE & NORTH,GPC,1
HPE,31.695433,-89.44075,Covington,FO-MS-O-CENTRAL,MPC,6
HPR,33.34972,-86.48667,Shelby,FO-AL-BIRMINGHAM EAST,APC,1
HPT,34.64115,-86.47145,Madison,FO-AL-ALBERTVILLE,SOLINC,1
HRD,33.257665,-85.621219,Randolph,FO-AL-ASHLAND,APC,1
HRS,33.622716,-84.386544,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
HRT,34.325398,-82.966561,Hart,FO-GA-NE-ATHENS EAST,GPC,1
HSC,31.347251,-89.325221,Forrest,FO-MS-O-CENTRAL,MPC,6
HSO,34.74124,-86.66094,Madison,FO-AL-BIRMINGHAM NORTH,SCS,1
HTA,36.228087,-119.803037,Kings,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,139
HTC,32.8047,-86.4464,Chilton,FO-AL-MONTGOMERY EAST,APC,1
HTF,31.093477,-85.6297,Geneva,FO-AL-DOTHAN WEST,APC,11
HTG,31.3533,-89.4431,Forrest,FO-MS-O-CENTRAL,MPC,6
HTI,32.094611,-81.090361,Chatham,FO-GA-SE-SAVANNAH 1,GPC,5
HTL,34.8067,-86.5794,Madison,FO-AL-BIRMINGHAM NORTH,SOLINC,1
HUC,33.450184,-87.009932,Jefferson,FO-AL-BIRMINGHAM NORTHWEST,APC,1
HUD,40.583084,-88.943562,McLean,FO-SOGAS-IL REGIONS BLT HUB,SOGAS,44
HUE,33.45195,-86.97056,Jefferson,FO-AL-BIRMINGHAM NORTHWEST,APC,1
HUF,33.60572,-86.69009,Jefferson,FO-AL-BIRMINGHAM NORTHEAST,APC,1
HUL,34.0432222,-83.2863611,HULL,FO-GA-NE-ATHENS EAST,GPC,1
HUN,32.0,-81.1244722,HUNTER AAF,FO-GA-SE-SAVANNAH 3,GPC,5
HUR,30.661306,-88.490806,Jackson,FO-MS-O-SOUTH,MPC,6
HUT,32.248537,-85.428237,Russell,FO-AL-EUFAULA,APC,140
HVC,31.93127,-82.34955,Appling,FO-GA-SE-BAXLEY,GPC,16
HVM,31.34611,-89.32861,Forrest,FO-MS-O-CENTRAL,MPC,6
HVR,33.357383,-86.843609,Jefferson,FO-AL-BIRMINGHAM SOUTHWEST,APC,1
HWO,33.480507,-86.790174,Jefferson,FO-AL-BIRMINGHAM DOWNTOWN SOUTH,APC,1
HYB,31.838619,-87.3608,WILCOX,FO-AL-MOBILE NORTHEAST,APC,62
HYV,34.2407889,-87.6307611,HALEYVILLE,FO-AL-JASPER,APC,1
HZL,34.9336111,-86.5741306,,FO-AL-BIRMINGHAM NORTH,SOLINC,1
ICH,30.510089,-88.227704,Mobile,FO-AL-SOUTH-MOBILE BLT HUB,APC,6
IDR,41.802548,-88.094949,DuPage,FO-GA-SE-ILLINOIS-SOUTH,SCS,29
INC,33.777575,-84.389651,Fulton,FO-GA-NE-METRO NORTHEAST,GPC,1
INL,42.367969,-88.139042,Lake,FO-GA-SE-ILLINOIS-NORTH,SOGAS,141
INP,33.88374,-84.46416,Cobb,FO-GA-NW-METRO NORTHWEST,GPC,1
INV,33.42627,-86.6875,Shelby,FO-AL-BIRMINGHAM NORTHEAST,APC,1
IRN,33.532903,-86.687434,Jefferson,FO-AL-BIRMINGHAM NORTHEAST,APC,1
IRW,31.6354722,-83.3771111,IRWINVILLE,FO-GA-SE-WAYCROSS,GPC,114
ISB,32.8127778,-86.7694444,ISABELLA,FO-AL-MONTGOMERY EAST,APC,1
ISL,30.24621,-87.6978,Baldwin,FO-AL-MOBILE SOUTHEAST,APC,6
JAC,33.797988,-85.773241,Calhoun,FO-AL-GADSDEN,APC,1
JAM,32.9531,-83.45048,Jones,FO-GA-SW-MACON-EAST,GPC,1
JAO,31.6064,-81.8869,Wayne,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,42
JAS,33.290539,-84.034692,Butts,FO-GA-NE-CONYERS,GPC,1
JAX,33.79528,-85.76056,Calhoun,FO-AL-GADSDEN,APC,1
JBO,33.852195,-87.304705,,FO-AL-MILLER SP,APC,1
JCC,37.206059,-76.608083,James City,FO-GA-SE-NATIONAL,SOGAS,142
JCH,31.520127,-87.891361,Clarke,FO-AL-MOBILE NORTHEAST,APC,143
JCQ,33.8536,-87.3061,Walker,FO-AL-MILLER SP,APC,1
JDO,33.49284,-84.33868,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
JEF,34.148052,-83.606917,Jackson,FO-GA-NE-GAINESVILLE,GPC,1
JEK,31.049841,-81.421384,Glynn,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,33
JES,31.56917,-81.89694,Wayne,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,42
JEU,31.6226,-81.9005,Wayne,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,42
JEW,33.2955361,-82.801325,JEWELL,FO-GA-SE-AUGUSTA 1,GPC,1
JFS,34.11138,-83.58606,Jackson,FO-GA-NE-GAINESVILLE,GPC,1
JHT,33.81772,-87.230433,Walker,FO-AL-MILLER SP,APC,1
JIC,31.024001,-89.034701,Perry,FO-MS-O-SOUTHWEST,MPC,144
JJJ,33.518603,-86.812287,Jefferson,FO-APCCORP-APC CORP HQ BLT HUB,APC,1
JKL,33.30955,-83.8218111,,FO-GA-NE-CONYERS,GPC,1
JKV,31.7671917,-82.9792833,JACKSONVILLE (GA),FO-GA-SE-BAXLEY,GPC,145
JML,33.060148,-83.806694,Monroe,FO-GA-SW-MACON-WEST,GPC,1
JOC,34.051015,-84.172021,Fulton,FO-GA-NE-CUMMING,GPC,1
JOF,33.52222,-84.35611,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
JOH,33.49284,-84.33868,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
JOL,41.521296,-88.003531,Will,FO-SOGAS-IL REGIONS BLT HUB,SOGAS,146
JON,33.501753,-84.343937,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
JOR,32.637003,-86.240269,Elmore,FO-AL-MONTGOMERY EAST,APC,1
JOS,34.7814,-85.5028,Dade,FO-GA-NW-FLOYD & NORTH,GPC,1
JPE,34.45058,-84.50552,Pickens,FO-GA-NW-BARTOW/CHEROKEE & NORTH,GPC,1
JRE,33.83034,-87.27782,Walker,FO-AL-MILLER SP,APC,1
JSC,31.610165,-81.888932,Wayne,FO-GA-SE-HINESVILLE-BRUNSWICK,SOGAS,42
JSE,33.847649,-87.282307,Walker,FO-AL-MILLER SP,APC,1
JSP,33.833254,-87.275707,Walker,FO-AL-MILLER SP,APC,1
JSR,33.596859,-84.382469,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
JST,32.38056,-86.30611,Montgomery,FO-AL-MONTGOMERY EAST,APC,1
JUN,32.571297,-84.440206,Talbot,FO-GA-SW-MACON-WEST,GPC,57
JXL,30.3943,-81.55721,Duval,FO-GA-SE-NATIONAL,SOGAS,147
KAH,33.227,-86.3599,Talladega,FO-AL-ASHLAND,APC,1
KAN,41.085565,-87.872872,Kankakee,FO-SOGAS-IL REGIONS BLT HUB,SOGAS,148
KAO,30.79218,-81.64234,Camden,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,33
KAY,36.933959,-97.138524,Kay,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,149
KDO,32.65237,-88.75746,Lauderdale,Plant Ratcliffe IT Analyst Contact,MPC,6
KEL,33.306819,-87.298411,Tuscaloosa,FO-AL-TUSCALOOSA,APC,1
KEN,34.022208,-84.59449,Cobb,FO-GA-NW-COBB,GPC,1
KEW,32.4436,-88.4154,Lauderdale,FO-MS-O-NORTH,MPC,6
KEY,32.817332,-83.674155,Bibb,FO-GA-SW-MACON-EAST,GPC,1
KGB,30.82792,-81.55613,Camden,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,33
KGL,30.79218,-81.64234,Camden,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,33
KIA,32.89755,-85.13299,Troup,FO-GA-SW-COLUMBUS,GPC,1
KIL,34.8662,-87.53051,Lauderdale,FO-AL-JASPER,SOLINC,1
KIN,31.1422,-81.3816,Glynn,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,33
KIT,32.699572,-82.522972,Johnson,FO-GA-SE-AUGUSTA 2,GPC,45
KLC,32.65237,-88.75746,Lauderdale,Plant Ratcliffe IT Analyst Contact,MPC,6
KLL,32.9965611,-86.0764944,,FO-AL-ASHLAND,APC,1
KLY,33.5522167,-84.1282389,KELLEYTOWN,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
KNG,34.21039,-85.04576,Floyd,FO-GA-NW-FLOYD & NORTH,GPC,1
KNO,32.9934,-87.7913,Greene,FO-AL-DEMOPOLIS,APC,1
KNT,37.511622,-77.101494,Charles City,FO-GA-SE-NATIONAL,SOGAS,65
KRK,33.757433,-84.329774,DeKalb,FO-GA-NE-METRO SOUTHEAST,GPC,1
KRR,33.611541,-84.388298,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
KSY,31.30216,-85.34871,Houston,FO-AL-DOTHAN EAST,APC,11
KTF,33.640477,-84.127856,DeKalb,FO-GA-NE-CONYERS,GPC,1
KTH,32.4824306,-83.6187889,,FO-GA-SW-PERRY,GPC,1
KVT,30.38397,-89.09779,Harrison,FO-MS-O-SOUTH CENTRAL,MPC,6
KWD,32.05583,-81.12078,Chatham,FO-GA-SE-SAVANNAH 1,GPC,5
LAA,32.4961667,-88.5273611,,FO-MS-O-NORTH,MPC,6
LAC,34.31874,-86.90775,Morgan,FO-AL-BIRMINGHAM NORTH,SOLINC,1
LAD,31.062931,-83.072442,Lanier,FO-GA-SW-VALDOSTA,GPC,150
LAF,32.916528,-85.400418,Chambers,FO-AL-ASHLAND,APC,1
LAG,33.041461,-85.008306,Troup,FO-GA-SW-COLUMBUS,GPC,1
LAI,34.4528,-83.1107,Franklin,FO-GA-NE-GAINESVILLE,GPC,1
LAK,40.691672,-88.91862,McLean,FO-GA-SE-ILLINOIS-SOUTH,SOGAS,44
LAL,33.904761,-84.000522,Gwinnett,FO-GA-NE-CONYERS,GPC,1
LAM,32.71631,-101.921598,Dawson,FO-SPC-PLANT SUPPORT 1 BLT HUB,SPC,151
LAN,32.81414,-85.16841,Harris,FO-GA-SW-COLUMBUS,GPC,1
LAR,33.9867,-84.0567,Gwinnett,FO-GA-NE-CUMMING,GPC,1
LAU,31.69299,-89.12994,Jones,FO-MS-O-NORTH CENTRAL,MPC,6
LAV,33.9575,-83.994,Gwinnett,FO-GA-NE-CONYERS,GPC,1
LAW,38.893738,-77.020512,District of Columbia,FO-GA-SE-NATIONAL,SCS,24
LAY,38.068116,-77.520492,Caroline,FO-GA-SE-NATIONAL,SOGAS,152
LCD,30.9369444,-88.5822222,,FO-MS-O-CENTRAL,MPC,153
LCF,33.9136111,-86.6201306,LOCUST FORK,FO-AL-BIRMINGHAM NORTH,APC,1
LCH,32.57389,-88.21,Sumter,FO-AL-DEMOPOLIS,APC,6
LCO,33.524605,-86.580881,Jefferson,FO-AL-BIRMINGHAM EAST,APC,1
LCS,30.927878,-88.591256,George,FO-MS-O-CENTRAL,MPC,153
LDA,32.469969,-85.097527,Russell,FO-AL-PHENIX CITY,APC,1
LDN,32.30523,-87.79777,Marengo,FO-AL-DEMOPOLIS,APC,62
LDV,34.46955,-84.60775,LUDVILLE,FO-GA-NW-BARTOW/CHEROKEE & NORTH,GPC,1
LDY,33.51463,-86.8217,Jefferson,FO-AL-BIRMINGHAM DOWNTOWN NORTH,APC,1
LEB,34.36289,-85.8281,DeKalb,FO-AL-GADSDEN,SOLINC,81
LEE,33.5556,-86.5675,Jefferson,FO-AL-BIRMINGHAM EAST,APC,1
LEH,33.613118,-82.297495,Columbia,FO-GA-SE-AUGUSTA 1,GPC,1
LEK,31.18099,-88.57297,Greene,FO-MS-O-CENTRAL,MPC,153
LEM,32.758153,-84.217378,Upson,FO-GA-SW-MACON-WEST,GPC,154
LEN,31.296034,-83.484682,Cook,FO-GA-SW-VALDOSTA,GPC,13
LES,31.769986,-84.152745,Lee,FO-GA-SW-BAINBRIDGE,GPC,12
LET,32.0793,-86.40877,Montgomery,FO-AL-MONTGOMERY WEST,APC,1
LEX,33.805843,-83.159156,Oglethorpe,FO-GA-NE-ATHENS EAST,GPC,1
LFS,33.626064,-84.389843,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
LFY,34.748608,-85.320305,Walker,FO-GA-NW-FLOYD & NORTH,GPC,1
LGH,34.69854,-87.53275,Colbert,FO-AL-JASPER,SOLINC,1
LGM,41.806795,-87.860217,Cook,FO-GA-SE-ILLINOIS-SOUTH,SOGAS,29
LHG,32.65292,-86.739236,AUTAUGA,FO-AL-MONTGOMERY WEST,APC,1
LHL,35.622802,-119.857878,Kern,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,41
LIB,33.4909,-86.7032,Jefferson,FO-AL-BIRMINGHAM NORTHEAST,APC,1
LIC,33.742389,-82.520861,Lincoln,FO-GA-SE-AUGUSTA 1,GPC,22
LIE,33.30838,-85.72196,Clay,FO-AL-ASHLAND,APC,1
LIL,33.8904,-84.1458,Gwinnett,FO-GA-NE-CONYERS,GPC,1
LIN,33.797025,-82.477144,Lincoln,FO-GA-SE-AUGUSTA 1,GPC,22
LIV,32.583037,-88.187245,Sumter,FO-AL-DEMOPOLIS,APC,6
LKE,32.0079722,-85.1159444,LAKEPOINT,FO-AL-EUFAULA,APC,1
LKP,30.702008,-83.114852,Echols,FO-GA-SW-VALDOSTA,GPC,155
LKV,31.15258,-88.552561,Greene,FO-MS-O-CENTRAL,MPC,153
LKY,37.540173,-82.778138,Floyd,FO-GA-SE-NATIONAL,SOGAS,156
LLA,34.379458,-83.652711,Banks,FO-GA-NE-GAINESVILLE,GPC,1
LLD,33.405457,-86.914134,Jefferson,FO-AL-BIRMINGHAM SOUTHWEST,APC,1
LLN,31.6266667,-89.5563889,,FO-MS-O-CENTRAL,MPC,6
LLQ,33.791271,-84.623256,Douglas,FO-GA-NW-PAULDING/POLK/HARALSON,GPC,1
LM1,33.626841,-84.3952,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
LM2,33.627134,-84.396696,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
LM3,33.625724,-84.387821,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
LM4,33.62695,-84.38834,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
LM5,33.624572,-84.386458,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
LMD,33.42556,-86.33889,Saint Clair,FO-AL-ASHLAND,APC,1
LMO,33.624599,-84.387521,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
LMP,32.055272,-84.802642,Stewart,FO-GA-SW-AMERICUS,GPC,1
LND,32.3221,-87.7942,Marengo,FO-AL-DEMOPOLIS,APC,62
LNS,33.625412,-84.392155,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
LOA,32.511476,-85.5886,Macon,FO-AL-PHENIX CITY,APC,1
LOC,33.3548,-84.1212,Henry,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
LOF,32.191744,-85.051122,Barbour,FO-AL-EUFAULA,APC,1
LOG,33.833056,-83.889722,Walton,FO-GA-NE-ATHENS WEST,GPC,1
LOK,33.421531,-87.261925,JEFFERSON,FO-AL-BIRMINGHAM NORTHWEST,APC,1
LON,31.7779306,-83.4945167,REBECCA,FO-GA-SE-WAYCROSS,GPC,13
LOU,33.0135,-82.3977,Jefferson,FO-GA-SE-AUGUSTA 2,GPC,45
LOV,33.449203,-84.323808,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
LOW,32.2651,-86.62,Lowndes,FO-AL-MONTGOMERY WEST,APC,1
LRB,34.749236,-83.464732,RABUN,FO-GA-NE-CORNELIA,GPC,1
LRH,31.68954,-89.101578,Jones,FO-MS-O-NORTH CENTRAL,MPC,6
LRL,30.95405,-86.44963,Okaloosa,FO-AL-DOTHAN WEST,SOLINC,19
LRY,31.61275,-88.3119306,MILLRY,FO-AL-MOBILE NORTHWEST,APC,157
LSB,33.625054,-84.387102,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
LSC,31.689103,-89.137195,Jones,FO-MS-O-NORTH CENTRAL,MPC,6
LSF,33.001134,-85.011959,Troup,FO-GA-SW-COLUMBUS,GPC,1
LSS,40.638146,-88.841475,McLean,FO-GA-SE-ILLINOIS-SOUTH,SOGAS,44
LST,33.8675,-84.19334,DeKalb,FO-GA-NE-CONYERS,GPC,1
LUB,31.9565,-82.7118,Telfair,FO-GA-SE-BAXLEY,GPC,16
LUC,30.920455,-88.592758,George,FO-MS-O-CENTRAL,MPC,153
LUD,31.721531,-81.741186,Long,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,158
LUF,30.9964,-86.0997,Geneva,FO-AL-DOTHAN WEST,APC,11
LUL,34.37763,-83.6596,Banks,FO-GA-NE-GAINESVILLE,GPC,1
LUM,31.0017,-89.4533,LaMar,FO-MS-O-SOUTHWEST,MPC,6
LUR,31.002981,-89.423461,,FO-MS-O-SOUTHWEST,MPC,6
